Season,Date,Plot_Name,Plot_Side,Limpet_No,SL_mm,Tag_ID
Fall,2023_09_29,CNM_1,R,1,54,0
Fall,2023_09_29,CNM_1,R,2,53,0
Fall,2023_09_29,CNM_1,R,3,56,D006
Fall,2023_09_29,CNM_1,R,4,66,0
Fall,2023_09_29,CNM_1,R,5,54,0
Fall,2023_09_29,CNM_1,R,6,48,0
Fall,2023_09_29,CNM_1,R,7,62,0
Fall,2023_09_29,CNM_1,R,8,62,0
Fall,2023_09_29,CNM_1,R,9,54,0
Fall,2023_09_29,CNM_1,R,10,49,0
Fall,2023_09_29,CNM_1,R,11,42,0
Fall,2023_09_29,CNM_1,R,12,49,0
Fall,2023_09_29,CNM_1,R,13,48,0
Fall,2023_09_29,CNM_1,R,14,51,0
Fall,2023_09_29,CNM_1,R,15,56,0
Fall,2023_09_29,CNM_1,R,16,42,0
Fall,2023_09_29,CNM_1,R,17,44,0
Fall,2023_09_29,CNM_1,R,18,50,0
Fall,2023_09_29,CNM_1,R,19,49,0
Fall,2023_09_29,CNM_1,R,20,24,0
Fall,2023_09_29,CNM_1,R,21,26,0
Fall,2023_09_29,CNM_1,R,22,44,0
Fall,2023_09_29,CNM_1,R,23,43,0
Fall,2023_09_29,CNM_1,R,24,48,0
Fall,2023_09_29,CNM_1,R,25,54,D002
Fall,2023_09_29,CNM_1,R,26,20,0
Fall,2023_09_29,CNM_1,R,27,24,0
Fall,2023_09_29,CNM_1,R,28,61,0
Fall,2023_09_29,CNM_1,R,29,68,0
Fall,2023_09_29,CNM_1,R,30,23,0
Fall,2023_09_29,CNM_1,R,31,44,0
Fall,2023_09_29,CNM_1,R,32,21,0
Fall,2023_09_29,CNM_1,R,33,23,0
Fall,2023_09_29,CNM_1,R,34,46,0
Fall,2023_09_29,CNM_1,R,35,24,0
Fall,2023_09_29,CNM_1,R,36,21,0
Fall,2023_09_29,CNM_1,R,37,20,0
Fall,2023_09_29,CNM_1,R,38,24,0
Fall,2023_09_29,CNM_1,R,39,23,0
Fall,2023_09_29,CNM_1,R,40,23,0
Fall,2023_09_29,CNM_1,R,41,21,0
Fall,2023_09_29,CNM_1,R,42,65,0
Fall,2023_09_29,CNM_1,R,43,48,0
Fall,2023_09_29,CNM_1,R,44,56,0
Fall,2023_09_29,CNM_1,R,45,47,0
Fall,2023_09_29,CNM_1,R,46,60,0
Fall,2023_09_29,CNM_1,R,47,59,0
Fall,2023_09_29,CNM_1,R,48,59,0
Fall,2023_09_29,CNM_1,R,49,44,D007
Fall,2023_09_29,CNM_1,R,50,54,0
